Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCedAsL1oGeXruPayP1DZKKQ; 小兒子 My Little Boys; https://www.youtube.com/c/UCedAsL1oGeXruPayP1DZKKQ; 21500; 159; 3717605; 2020-07-03
UC37-7GIzAHigKCVWUbjCrtg; SER My Poder .; https://www.youtube.com/c/serpoderdeahora; 860; 543; 298388; 2020-05-08
UC-JyJxAVIkxbgk-CFtB-IkA; Robot My Life; https://www.youtube.com/c/robotmylife; 378; 58; 193346; 2019-12-12
UCnprfRlJB7WE6zAEaOAfVYA; My Village Show; https://www.youtube.com/c/myvillageshow; 2470000; 232; 674865049; 2012-11-03
UCYLHvHS2aZ6TIE7fF1jG0LA; Irene - My DIY life diaries; https://www.youtube.com/c/mydiylifediaries; 10300; 82; 610996; 2020-10-26
