Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCiVWjDbSQMGFddqRwToBRbg; Stacked Homes; https://www.youtube.com/c/stackedhomes; 102000; 198; 12805251; 2017-06-09
UCqbFWAfeuLgn8m81rUL4ghQ; Great Home Ideas; https://www.youtube.com/c/greathomeideas; 879000; 1870; 200817156; 2012-04-26
UC9YkugExilgMFh36lHrXZqA; Tiny Notes From Home; https://www.youtube.com/c/tinynotesfromhome; 209000; 155; 16396004; 2017-09-08
UCLAdps1lhffeEAu3sI0L_ew; Trix Home Velas; https://www.youtube.com/c/UCLAdps1lhffeEAu3sI0L_ew; 7550; 21; 243785; 2021-03-18
UC012YcFv3JKRun57ftzIWdQ; The Home Brew Network; https://www.youtube.com/c/gashslugg; 27500; 399; 4612277; 2007-01-20
