Video ID; Title; URL; Views; Likes; Comments; Download 
DiItGE3eAyQ; Daddy Yankee &amp; Snow - Con Calma (Video Oficial); https://www.youtube.com/watch?v=DiItGE3eAyQ; 2513499831; 12435347; 381185; 2019-01-24
HqEH_oB0sCs; Keysha Bermain Mengisi Air Dalam Balon Daddy Finger Nursery Rhymes | Learn Colors With Balloons; https://www.youtube.com/watch?v=HqEH_oB0sCs; 2402568005; 8689790; 0; 2019-04-22
sGIm0-dQd8M; Daddy Yankee - Dura (Video Oficial); https://www.youtube.com/watch?v=sGIm0-dQd8M; 1837436441; 8402309; 281399; 2018-01-18
aKuivabiOns; Daddy Yankee - Shaky Shaky (Video Oficial); https://www.youtube.com/watch?v=aKuivabiOns; 1625349846; 5588762; 243526; 2016-07-15
YJyNoFkud6g; Finger Family Collection - 7 Finger Family Songs - Daddy Finger Nursery Rhymes; https://www.youtube.com/watch?v=YJyNoFkud6g; 1287558896; 0; 0; 2013-10-30
