Video ID; Title; URL; Views; Likes; Comments; Download 
WN1eYcw6fQ4; Nastya and Dad open boxes with surprises to learn the alphabet; https://www.youtube.com/watch?v=WN1eYcw6fQ4; 788784282; 3903276; 0; 2020-07-10
FrG4TEcSuRg; PSY - DADDY(feat. CL of 2NE1) M/V; https://www.youtube.com/watch?v=FrG4TEcSuRg; 640349910; 4939411; 197894; 2015-11-30
AMipq5878Qk; Diana and Roma play with Dad on the Beach; https://www.youtube.com/watch?v=AMipq5878Qk; 468381627; 1328183; 0; 2019-10-12
WxGlOkp-ykA; Diana &amp; Dad&#39;s birthday - surprises and sweets!; https://www.youtube.com/watch?v=WxGlOkp-ykA; 462924513; 1715296; 0; 2020-01-21
