Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCtP3cxaoT2gjU_CIOpN9Hvw; Pop Films; https://www.youtube.com/c/popfilms; 7560; 142; 11049494; 2015-07-26
UCw6_idyTdIjTAe-WQMeCACA; Lea y Pop - canciones infantiles en español; https://www.youtube.com/c/leaypop; 424000; 154; 192604135; 2019-04-01
UCWe1l3RGVqZ3ovgCpMmWzKw; Pop Culture Philosophers; https://www.youtube.com/c/popculturephilosophers; 13400; 1612; 1999469; 2010-03-11
UCdg7Ghwk6SkJDuvCNEV2-Ag; Academy Pop; https://www.youtube.com/c/academypop; 35900; 181; 2613757; 2015-11-16
UCTi2bRz_h1N1XGH-_wa2pyA; K-Pop Hungary; https://www.youtube.com/c/UCTi2bRz_h1N1XGH-_wa2pyA; 3360; 343; 744320; 2018-02-03
