Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCl0ziB8ZIgcxT-KCFDscc8Q; Hello Lemon ASMR; https://www.youtube.com/c/UCl0ziB8ZIgcxT-KCFDscc8Q; 1690; 8; 62103; 2022-02-27
UCHjEee8CTswooridtmap_TA; Hello, English Lovers; https://www.youtube.com/c/helloenglishlovers; 318000; 94; 6024564; 2020-05-16
UCgAKxqkCWVLftnGGhMTrqBA; HELLO OJEDA; https://www.youtube.com/c/UCgAKxqkCWVLftnGGhMTrqBA; 5200; 69; 352774; 2015-10-10
UCFw6a0v4g4yJdrUpC8BtxHQ; Hello Yello; https://www.youtube.com/c/UCFw6a0v4g4yJdrUpC8BtxHQ; 2460; 4; 1064899; 2018-10-16
UCzVLiNdwx3byfWpokvZugWg; hello sanvari; https://www.youtube.com/c/UCzVLiNdwx3byfWpokvZugWg; 0; 1; 39; 2021-11-24
