Video ID: HqEH_oB0sCs, Title: Keysha Bermain Mengisi Air Dalam Balon Daddy Finger Nursery Rhymes | Learn Colors With Balloons, URL: https://www.youtube.com/watch?v=HqEH_oB0sCs, Views: 2398852385, Likes: 8679225, Comments: 0, Download: 2019-04-22
Video ID: WN1eYcw6fQ4, Title: Nastya and Dad open boxes with surprises to learn the alphabet, URL: https://www.youtube.com/watch?v=WN1eYcw6fQ4, Views: 787834659, Likes: 3899858, Comments: 0, Download: 2020-07-10
Video ID: FrG4TEcSuRg, Title: PSY - DADDY(feat. CL of 2NE1) M/V, URL: https://www.youtube.com/watch?v=FrG4TEcSuRg, Views: 640084350, Likes: 4937453, Comments: 197903, Download: 2015-11-30
Video ID: AMipq5878Qk, Title: Diana and Roma play with Dad on the Beach, URL: https://www.youtube.com/watch?v=AMipq5878Qk, Views: 468130453, Likes: 1327644, Comments: 0, Download: 2019-10-12
Video ID: WxGlOkp-ykA, Title: Diana &amp; Dad&#39;s birthday - surprises and sweets!, URL: https://www.youtube.com/watch?v=WxGlOkp-ykA, Views: 462638217, Likes: 1714430, Comments: 0, Download: 2020-01-21
