Video ID; Title; URL; Views; Likes; Comments; Download 
l4keK2qJjh0; Rew - Rakkaudella minä + lyrics; https://www.youtube.com/watch?v=l4keK2qJjh0; 1534794; 4116; 330; 2008-07-06
ig84j--FmoA; Aida Samb - Bitim Rew; https://www.youtube.com/watch?v=ig84j--FmoA; 849738; 2730; 280; 2012-06-22
r6vm0BixWOQ; Le Clip de Mouss bou rew qui fait le buzz...RBT; https://www.youtube.com/watch?v=r6vm0BixWOQ; 843956; 4161; 277; 2017-01-05
