Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCka8qHvy9jbyRmmbFCvePKA; Cake Pops; https://www.youtube.com/c/UCka8qHvy9jbyRmmbFCvePKA; 198; 1; 17787; 2011-11-26
UCHUZl8Y-Kc16T6fV_KDpKGQ; Top Pops; https://www.youtube.com/c/toppopstristanandnoah; 371000; 2282; 111998544; 2014-10-29
UCjVjd6BfeSxmTjR0al-PLOA; Brit Pops React; https://www.youtube.com/c/britpopsreact; 43900; 769; 6523262; 2021-01-21
UCuSQdqgTVsVU85PBlsWmibQ; POPS Music - Quê Hương; https://www.youtube.com/c/popsmusicquehuong; 550000; 4196; 199679904; 2016-06-07
UC0CsD7QW5ycGRpgDUxzL9WA; Hallandale Pops; https://www.youtube.com/c/UC0CsD7QW5ycGRpgDUxzL9WA; 420; 164; 252207; 2015-01-07
