Video ID: yiQwbw1HEGk, Title: NK | НАСТЯ КАМЕНСКИХ -- ПOПА КАК У КИМ (OFFICIAL VIDEO), URL: https://www.youtube.com/watch?v=yiQwbw1HEGk, Views: 70454534, Likes: 571914, Comments: 28207, Download: 2019-02-14
Video ID: q1VBA2MJLRk, Title: Silvàn Areg - On va RFR le monde (Clip officiel), URL: https://www.youtube.com/watch?v=q1VBA2MJLRk, Views: 2370355, Likes: 10926, Comments: 457, Download: 2019-11-01
Video ID: 9EtWs2Mae58, Title: Silvàn Areg - On va RFR le monde (Audio Officiel), URL: https://www.youtube.com/watch?v=9EtWs2Mae58, Views: 377828, Likes: 1518, Comments: 55, Download: 2019-09-27
Video ID: gdfgSk1xixM, Title: Melihat Ruang Kerja RFR Pemuda yang Merakit Senjata Api di Aceh Jaya, URL: https://www.youtube.com/watch?v=gdfgSk1xixM, Views: 189666, Likes: 1158, Comments: 859, Download: 2021-02-19
Video ID: W5J6Cg__Xso, Title: RFR trailer, URL: https://www.youtube.com/watch?v=W5J6Cg__Xso, Views: 134662, Likes: 99, Comments: 10, Download: 2012-06-23
