Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UC724eMnyF8cEdn6zX1UnWJQ; Mytravel Purchase; https://www.youtube.com/c/UC724eMnyF8cEdn6zX1UnWJQ; 4; 9; 659; 2017-07-09
UCsoqu-k1ExlDt2AWXhDjcNQ; DCP Dutch Cargo Purchase B.V. ; https://www.youtube.com/c/UCsoqu-k1ExlDt2AWXhDjcNQ; 1; 1; 11; 2022-01-14
UC5whoxdJf23bt6GJNyqjanQ; Udo:Safe Purchase; https://www.youtube.com/c/UC5whoxdJf23bt6GJNyqjanQ; 2; 1; 9; 2022-05-29
UCOOW1cx0Pm_tBkhesbTDHlQ; Only Purchase; https://www.youtube.com/c/UCOOW1cx0Pm_tBkhesbTDHlQ; 0; 17; 875; 2021-07-14
UCNmR08AUWqbmAvB_UpiA1tw; Smart purchase 103; https://www.youtube.com/c/UCNmR08AUWqbmAvB_UpiA1tw; 136; 58; 12502; 2021-04-09
