Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCA2EAFkyWF7GDgNYs8G6-AA; Mom in Manchester; https://www.youtube.com/c/mominmanchester; 8170; 201; 424898; 2018-12-17
UCq2HcaW-uaPC8eJEhQKPfxg; Chiku Ki Mom; https://www.youtube.com/c/UCq2HcaW-uaPC8eJEhQKPfxg; 2350; 419; 162421; 2016-02-08
UCrXeRf3PVwBbtB3f8TZCHng; Mom-Kids Magic; https://www.youtube.com/c/momkidsmagic; 33800; 235; 4649198; 2020-01-16
UC_s7i6BmK_Lt-XeaYKwmieg; kittens mom vlog; https://www.youtube.com/c/UC_s7i6BmK_Lt-XeaYKwmieg; 5720; 333; 46446; 2020-05-14
UCswcMK_JuX9BtKrPqBFab3Q; ZAID COOKING WITH MOM; https://www.youtube.com/c/UCswcMK_JuX9BtKrPqBFab3Q; 0; 148; 59258; 2021-03-03
