Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UC2_dy72FBoK9FKMflmFqCSg; Magic Dad; https://www.youtube.com/c/magicdad; 183; 144; 6696; 2021-05-04
UCBC3M0LFs6hSWMHMVTAcMvQ; Wyatt & Dad Cobbler Company; https://www.youtube.com/c/wyattdadcobblercompany; 2820; 28; 117803; 2020-10-01
UCV9ns78ekwpojACIGmXXDnw; Not Your Dad's CPA; https://www.youtube.com/c/notyourdadscpa; 19500; 22; 512891; 2018-08-13
UCjT_B40A8Htod8vecwmNLyg; Dad Does Tech; https://www.youtube.com/c/UCjT_B40A8Htod8vecwmNLyg; 3540; 43; 740918; 2017-06-06
UCSqFi0Co4z1HN0Ussq2Y8fA; Dad Random; https://www.youtube.com/c/dadrandom; 5700; 579; 1156874; 2017-07-14
