Channel ID; Title; URL; Subscribers; Videos; Views; Created 
UCA2EAFkyWF7GDgNYs8G6-AA; Mom in Manchester; https://www.youtube.com/c/mominmanchester; 8160; 201; 424898; 2018-12-17
UCq2HcaW-uaPC8eJEhQKPfxg; Chiku Ki Mom; https://www.youtube.com/c/UCq2HcaW-uaPC8eJEhQKPfxg; 2350; 419; 162421; 2016-02-08
UCrXeRf3PVwBbtB3f8TZCHng; Mom-Kids Magic; https://www.youtube.com/c/momkidsmagic; 33800; 235; 4649198; 2020-01-16
UC4ldaXmvXvFFPS3oLl8y0Aw; Mom Im on TV; https://www.youtube.com/c/UC4ldaXmvXvFFPS3oLl8y0Aw; 271; 21; 304399; 2021-07-05
UC3f9RMtFbNCNvaepxdZRf7w; LOLO MOM ; https://www.youtube.com/c/UC3f9RMtFbNCNvaepxdZRf7w; 57; 4; 11961; 2021-08-17
